유형,대회명,웹페이지,시작일,종료일
공모전,Autonomous Agents Hackathon,https://lablab.ai/event/ai-agents-hackathon-3,2023-08-15,2023-08-19
공모전,제5회 Future Finance A.I. Challenge (금융 + 인공지능 공모전),http://www.kbdatory.com/,2023-07-11,2023-08-20
경진대회,Mosquito Alert Challenge,https://www.aicrowd.com/challenges/mosquitoalert-challenge-2023,2023-06-20,2023-08-20
공모전,XRPL Summer Hackathon | Ripple,https://dorahacks.io/ko/hackathon/xrpl-hackathon/workshop,2023-06-05,2023-08-21
경진대회,월간 데이콘 초전도체 임계온도 예측 AI 해커톤,https://dacon.io/competitions/official/236146/overview/description,2023-08-18,2023-08-21
경진대회,Predict CO2 Emissions in Rwanda,https://www.kaggle.com/competitions/playground-series-s3e20,2023-08-01,2023-08-21
경진대회,CAFA 5 Protein Function Prediction,https://www.kaggle.com/competitions/cafa-5-protein-function-prediction,2023-04-18,2023-08-21
공모전,2023년 K-water 대국민 물 빅데이터 공모전,https://www.water.or.kr/kor/board/index.do?mode=view&bid=BD_00017&menuId=17_189&wid=110185,2023-06-14,2023-08-22
공모전,구름톤 in JEJU 7기,https://9oormthon.goorm.io/,2023-08-10,2023-08-23
공모전,아드리엘 마케팅 대시보드 공모전 2023,https://contest.adriel.com/?utm_campaign=KR_marketing_contest_202308&utm_source=contest_community&utm_medium=external&utm_content=1st_230803,2023-08-01,2023-08-23
공모전,사이버보안챌린지2023,https://sec-challenge.kr/summary,2023-07-24,2023-08-23
공모전,2023년 소상공인 데이터 분석(활용) 아이디어 공모전,https://docs.google.com/forms/d/e/1FAIpQLSftxqOL_SaUkahn2SVQ4GfOXlqME3nm7LBMz67cmopvksWmIA/viewform,2023-08-08,2023-08-24
공모전,"생성 AI 원데이톤 : 게임 세계관 만들기 ""AI 니가 다해유”",https://event-us.kr/modu/event/67416,2023-08-08,2023-08-24
경진대회,RSNA 2023 Abdominal Trauma Detection,https://www.kaggle.com/competitions/rsna-2023-abdominal-trauma-detection,2023-07-26,2023-08-24
공모전,초거대 AI를 활용한 메타버스 서비스 기획 공모전,https://reppley.notion.site/AI-30d0d4326ba7464181ecb6dc017b69f7,2023-08-07,2023-08-25
경진대회,2023 디지털병리 데이터 활용 AI 해커톤,https://www.codipaichallenge.com/,2023-08-11,2023-08-27
공모전,2023 한약 실험정보 데이터를 활용한 인공지능 경진대회,https://nikomcontest.co.kr/,2023-07-24,2023-08-27
공모전,2023년 국립중앙과학관 GBIF 데어터 활용 해커톤 경진대회,https://www.science.go.kr/board/view?menuId=MENU00477&linkId=4702679,2023-07-18,2023-08-27
공모전,갤럭시아 WEB 3.0 서비스 아이디어 공모전,https://galaxiametaverse.com/,2023-07-17,2023-08-27
경진대회,데이콘 Basic 흡연 여부 예측 AI 경진대회,https://dacon.io/competitions/official/236147/overview/description,2023-08-14,2023-08-28
경진대회,2023 전력사용량 예측 AI 경진대회,https://dacon.io/competitions/official/236125/overview/description,2023-07-17,2023-08-28
경진대회,2023 제1회 철도 인공지능 경진대회,https://aifactory.space/competition/2511/discussion/504,2023-07-17,2023-08-28
공모전,AudioCraft 24-hours Hackathon,https://lablab.ai/event/audiocraft-24-hours-hackathon,2023-08-25,2023-08-31
공모전,제5회 서울교육 데이터 활용 아이디어 공모전,https://www.senbigdata.com/,2023-07-28,2023-08-31
경진대회,제2회 유통데이터 활용 경진대회,https://festa.kdlc.or.kr/circulation/support/64d053a2c573d320c1458582,2023-08-07,2023-08-31
공모전,2023년 천안시 데이터 기반 시각화 아이디어 공모전,http://www.kodata.co.kr/cr/CRNOT01R1.do,2023-07-11,2023-08-31
경진대회,2023 DATA·AI 분석 경진대회,https://dataon-con.kr/,2023-07-10,2023-08-31
공모전,제11회 국민연금 연구과제 대[對]국민 공모전,https://institute.nps.or.kr/jsppage/app/cms/view.jsp?seq=27612&cPage=2&cmsId=lab_news01&SK=&SW=,2023-04-03,2023-08-31
